"title", source, price, sold, size, url
"veja sneakers mens", eBay, $70.00, Available, Unknown, https://www.ebay.com/itm/383702378616?hash=item595671a878:g:zPgAAOSwpVNfTvz4
"Veja Bastille leather Sneaker WhiteWith Snake Leather Trim Women’s EU 40 US 9", eBay, $87.00, Available, Unknown, https://www.ebay.com/itm/184427108425?hash=item2af0b65849:g:psEAAOSwsblfTeP2
"Cape Robbin Veja Better Luck Baby Blue Stiletto Slip-on Sandal High Heel Size 10", eBay, $29.99, Available, Unknown, https://www.ebay.com/itm/154067592678?hash=item23df24e5e6:g:VMoAAOSwJMxfTSJs
"Veja Women Shoes 5", eBay, $101.00, Available, Unknown, https://www.ebay.com/itm/293709115788?hash=item44626d718c:g:z-sAAOSwUwRfR8Vx
"BNIB Veja V-10 Sneaker In All Black 37", eBay, $100.00, Available, Unknown, https://www.ebay.com/itm/143697789698?hash=item21750e4302:g:ncwAAOSwIZZfQ~8T
"#-505-VEJA Esplar Sneaker V-10 Women's Sohes Black SZ 38 / 7 US $150.00", eBay, $80.00, Available, Unknown, https://www.ebay.com/itm/324268133405?hash=item4b7fe30c1d:g:Z0sAAOSwTFBfPv8W
"mens veja sneakers", eBay, $95.00, Available, Unknown, https://www.ebay.com/itm/353169916672?hash=item523a914300:g:PRwAAOSwKO9fNgIQ
"VEJA Mens 11.5 Sneaker White Black", eBay, $100.00, Available, Unknown, https://www.ebay.com/itm/313165723904?hash=item48ea21b900:g:C5MAAOSwGhVfIicO
"Veja V-10 Extra White Nautico Pekin Leather Sneakers Trainers Women EU 39 US 8", eBay, $199.99, Available, Unknown, https://www.ebay.com/itm/224098867376?hash=item342d5558b0:g:lucAAOSwJdRfIflj
"Vieja Trova Santiaguera : veja trova santiaguera - la manigua Audi CD", eBay, $14.16, Available, Unknown, https://www.ebay.com/itm/293651379607?epid=1205452153&hash=item445efc7597:g:ybMAAOSw2qtgkV-~
"Veja Wata Men's Size 8/41 - Marsala Pierre", eBay, $75.00, Available, Unknown, https://www.ebay.com/itm/283950321411?hash=item421cc20f03:g:rqkAAOSwEQpfENE3
"Veja Shoe Box-empty", eBay, $9.00, Available, Unknown, https://www.ebay.com/itm/274425820701?hash=item3fe50db61d:g:N5YAAOSw6D9fCxty
"Veja Esplar Leather Lowtop White Sneakers 5", eBay, $96.00, Available, Unknown, https://www.ebay.com/itm/324226634253?hash=item4b7d69d20d:g:Q3AAAOSwZOBfCjGr
"Loma Linda - Plant-Based - Low Fat Veja-Links (19 oz.) (Pack of 12) - Kosher", eBay, $101.19, Available, Unknown, https://www.ebay.com/itm/402314091595?hash=item5dabc9dc4b:g:gQYAAOSwvWNe~fHH
"Loma Linda - Plant-Based - Veja-Links (19 oz.) (Pack of 12) - Kosher", eBay, $99.69, Available, Unknown, https://www.ebay.com/itm/402314089252?hash=item5dabc9d324:g:mdcAAOSwl2pe~fDr
"VEJA Men's V10 B Mesh White Gold Sneaker Retail: $150 (NWT)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/274413687598?hash=item3fe454932e:g:oC0AAOSws0hfmvGH
"VEJA X LEMAIRE Men's Boots Canvas Bastille Sneakers Retail: $185 (NWB)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/274412886324?hash=item3fe4485934:g:iMEAAOSwFa9fmt2m
"VEJA X LEMAIRE Men's Boots Canvas Bastille Sneakers Retail: $185 (NWB)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/274412874921?hash=item3fe4482ca9:g:x-4AAOSwmGNfmt1c
